macaque_cluster	primate_class	primate_neighborhood	primate_subclass	homology_neighborhood	homology_class	homology_subclass	homology_supertype	NOTES_NJJ		AIT21_neighborhood	AIT21_class	AIT21_subclass	AIT21_supertype	AIT21_cluster	size
180_IN	Interneuron	PVALB	Gluta_PVALB-CDH23	HY-EA-Glut-GABA	HY Glut	STN-PSTN Pitx2 Glut				HY-EA-Glut-GABA(0.75)| MB-HB-Glut-Sero-Dopa(0.24)	HY Glut(0.75)| MB Glut(0.21)	STN-PSTN Pitx2 Glut(0.75)| RN Spp1 Glut(0.2)	STN-PSTN Pitx2 Glut_5(0.75)| RN Spp1 Glut_1(0.2)	2454 STN-PSTN Pitx2 Glut_5(0.72)| 2761 RN Spp1 Glut_1(0.2)	287
188_IN	Interneuron	PVALB-SLC17A6	Gluta_PVALB-SLC17A6-CLMN	TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut				TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut(0.93)	TH Prkcd Grin2c Glut_6(0.34)| TH Prkcd Grin2c Glut_3(0.25)| TH Prkcd Grin2c Glut_5(0.13)| TH Prkcd Grin2c Glut_7(0.09)	2652 TH Prkcd Grin2c Glut_3(0.25)| 2659 TH Prkcd Grin2c Glut_6(0.19)| 2664 TH Prkcd Grin2c Glut_6(0.13)| 2655 TH Prkcd Grin2c Glut_5(0.08)	1007
199_IN	Interneuron	PVALB-SLC17A6	Gluta_PVALB-SLC17A6-CLMN	TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut				TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut(0.96)	TH Prkcd Grin2c Glut_13(0.65)| TH Prkcd Grin2c Glut_5(0.23)| TH Prkcd Grin2c Glut_6(0.06)	2687 TH Prkcd Grin2c Glut_13(0.64)| 2655 TH Prkcd Grin2c Glut_5(0.14)| 2664 TH Prkcd Grin2c Glut_6(0.06)	110
200_IN	Interneuron	PVALB-SLC17A6	Gluta_PVALB-SLC17A6-CLMN	TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut				TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut(0.72)| RE-Xi Nox4 Glut(0.22)	TH Prkcd Grin2c Glut_6(0.54)| RE-Xi Nox4 Glut_2(0.19)| TH Prkcd Grin2c Glut_5(0.1)	2659 TH Prkcd Grin2c Glut_6(0.3)| 2695 RE-Xi Nox4 Glut_2(0.18)| 2664 TH Prkcd Grin2c Glut_6(0.11)| 2655 TH Prkcd Grin2c Glut_5(0.1)| 2660 TH Prkcd Grin2c Glut_6(0.08)	469
231_IN	Interneuron	PVALB-SLC17A6	Gluta_PVALB-SLC17A6-CLMN	TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut				TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut(0.96)	TH Prkcd Grin2c Glut_3(0.75)| TH Prkcd Grin2c Glut_5(0.13)	2652 TH Prkcd Grin2c Glut_3(0.75)| 2655 TH Prkcd Grin2c Glut_5(0.11)	619
232_IN	Interneuron	PVALB-SLC17A6	Gluta_PVALB-SLC17A6-CLMN	TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut				TH-EPI-Glut	TH Glut	TH Prkcd Grin2c Glut(0.83)| MG-POL-SGN Nts Glut(0.14)	TH Prkcd Grin2c Glut_3(0.5)| MG-POL-SGN Nts Glut_1(0.14)| TH Prkcd Grin2c Glut_6(0.13)| TH Prkcd Grin2c Glut_5(0.1)| TH Prkcd Grin2c Glut_7(0.07)	2652 TH Prkcd Grin2c Glut_3(0.5)| 2655 TH Prkcd Grin2c Glut_5(0.1)| 2659 TH Prkcd Grin2c Glut_6(0.09)| 2705 MG-POL-SGN Nts Glut_1(0.08)| 2666 TH Prkcd Grin2c Glut_7(0.07)| 2704 MG-POL-SGN Nts Glut_1(0.06)	646
109_IN	Interneuron	LHX6	GP-LHX6	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba		GPe type in mouse		Subpallium-GABA(0.88)	CNU-MGE GABA(0.73)| CNU-LGE GABA(0.07)| LSX GABA(0.06)	NDB-SI-MA-STRv Lhx8 Gaba(0.73)	NDB-SI-MA-STRv Lhx8 Gaba_4(0.73)	0892 NDB-SI-MA-STRv Lhx8 Gaba_4(0.61)| 0890 NDB-SI-MA-STRv Lhx8 Gaba_4(0.1)	430
110_IN	Interneuron	LHX6	GP-LHX6	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba				MB-HB-CB-GABA(0.44)| Subpallium-GABA(0.29)| MB-HB-Glut-Sero-Dopa(0.24)	P GABA(0.33)| CNU-MGE GABA(0.25)| MY Glut(0.17)| MB Glut(0.07)	NLL Gata3 Gly-Gaba(0.33)| NDB-SI-MA-STRv Lhx8 Gaba(0.25)| PGRN-PARN-MDRN Hoxb5 Glut(0.16)| RN Spp1 Glut(0.07)	NLL Gata3 Gly-Gaba_3(0.33)| NDB-SI-MA-STRv Lhx8 Gaba_4(0.25)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.16)| RN Spp1 Glut_1(0.07)	4806 NLL Gata3 Gly-Gaba_3(0.33)| 0892 NDB-SI-MA-STRv Lhx8 Gaba_4(0.25)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.16)| 2761 RN Spp1 Glut_1(0.07)	1967
172_IN	Interneuron	PVALB	GPi_Core	HY-EA-Glut-GABA	HY GABA	ZI Pax6 Gaba		Candidate to rename (MOUSE)		MB-HB-CB-GABA(0.49)| HY-EA-Glut-GABA(0.36)| MB-HB-Glut-Sero-Dopa(0.14)	P GABA(0.39)| HY GABA(0.36)| MY Glut(0.12)| MB GABA(0.07)	NLL Gata3 Gly-Gaba(0.39)| ZI Pax6 Gaba(0.36)| PGRN-PARN-MDRN Hoxb5 Glut(0.12)	NLL Gata3 Gly-Gaba_3(0.39)| ZI Pax6 Gaba_3(0.35)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.12)	4806 NLL Gata3 Gly-Gaba_3(0.39)| 1731 ZI Pax6 Gaba_3(0.35)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.12)	989
173_IN	Interneuron	PVALB	GPi_Core	HY-EA-Glut-GABA	HY GABA	ZI Pax6 Gaba		Candidate to rename (MOUSE)		HY-EA-Glut-GABA(0.56)| MB-HB-CB-GABA(0.37)| MB-HB-Glut-Sero-Dopa(0.07)	HY GABA(0.56)| P GABA(0.34)	ZI Pax6 Gaba(0.56)| NLL Gata3 Gly-Gaba(0.34)	ZI Pax6 Gaba_3(0.56)| NLL Gata3 Gly-Gaba_3(0.34)	1731 ZI Pax6 Gaba_3(0.56)| 4806 NLL Gata3 Gly-Gaba_3(0.34)	237
174_IN	Interneuron	PVALB	GPi_Core	HY-EA-Glut-GABA	HY GABA	ZI Pax6 Gaba		Candidate to rename (MOUSE)		HY-EA-Glut-GABA(0.62)| MB-HB-CB-GABA(0.32)| MB-HB-Glut-Sero-Dopa(0.06)	HY GABA(0.62)| P GABA(0.26)	ZI Pax6 Gaba(0.62)| NLL Gata3 Gly-Gaba(0.26)	ZI Pax6 Gaba_3(0.62)| NLL Gata3 Gly-Gaba_3(0.26)	1731 ZI Pax6 Gaba_3(0.62)| 4806 NLL Gata3 Gly-Gaba_3(0.26)	409
175_IN	Interneuron	PVALB	GPi_Core	HY-EA-Glut-GABA	HY GABA	ZI Pax6 Gaba		Candidate to rename (MOUSE)		MB-HB-CB-GABA(0.41)| HY-EA-Glut-GABA(0.19)| MB-HB-Glut-Sero-Dopa(0.19)| NN-IMN-GC(0.16)	P GABA(0.29)| HY GABA(0.19)| OPC-Oligo(0.15)| MY Glut(0.15)| MY GABA(0.06)	NLL Gata3 Gly-Gaba(0.29)| ZI Pax6 Gaba(0.19)| OPC NN(0.15)| PGRN-PARN-MDRN Hoxb5 Glut(0.15)| MY Lhx1 Gly-Gaba(0.06)	NLL Gata3 Gly-Gaba_3(0.29)| ZI Pax6 Gaba_3(0.19)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.15)| OPC NN_1(0.15)| MY Lhx1 Gly-Gaba_1(0.06)	4806 NLL Gata3 Gly-Gaba_3(0.29)| 1731 ZI Pax6 Gaba_3(0.19)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.15)| 5270 OPC NN_1(0.15)	79
176_IN	Interneuron	PVALB	GPi_Core	HY-EA-Glut-GABA	HY GABA	ZI Pax6 Gaba		Candidate to rename (MOUSE)		HY-EA-Glut-GABA(0.67)| MB-HB-CB-GABA(0.24)| MB-HB-Glut-Sero-Dopa(0.07)	HY GABA(0.67)| MB GABA(0.09)| P GABA(0.08)| MY GABA(0.07)| MY Glut(0.06)	ZI Pax6 Gaba(0.65)| PRT Tcf7l2 Gaba(0.08)| MY Lhx1 Gly-Gaba(0.07)| NLL Gata3 Gly-Gaba(0.06)| PGRN-PARN-MDRN Hoxb5 Glut(0.06)	ZI Pax6 Gaba_3(0.58)| PRT Tcf7l2 Gaba_1(0.08)| MY Lhx1 Gly-Gaba_1(0.07)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.06)| NLL Gata3 Gly-Gaba_3(0.06)	1731 ZI Pax6 Gaba_3(0.57)| 3606 PRT Tcf7l2 Gaba_1(0.08)| 4806 NLL Gata3 Gly-Gaba_3(0.06)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.06)	226
177_IN	Interneuron	PVALB	GPi_Core	HY-EA-Glut-GABA	HY GABA	ZI Pax6 Gaba		Candidate to rename (MOUSE)		HY-EA-Glut-GABA(0.82)| MB-HB-CB-GABA(0.13)	HY GABA(0.82)| P GABA(0.1)	ZI Pax6 Gaba(0.82)| NLL Gata3 Gly-Gaba(0.1)	ZI Pax6 Gaba_3(0.82)| NLL Gata3 Gly-Gaba_3(0.1)	1731 ZI Pax6 Gaba_3(0.82)| 4806 NLL Gata3 Gly-Gaba_3(0.1)	551
181_IN	Interneuron	PVALB	GPi_Shell	HY-EA-Glut-GABA	CNU-HYa Glut	GPi Tbr1 Cngb3 Gaba-Glut		Candidate to rename (MOUSE)		HY-EA-Glut-GABA(0.6)| MB-HB-Glut-Sero-Dopa(0.21)| MB-HB-CB-GABA(0.08)	CNU-HYa Glut(0.58)| MY Glut(0.17)	GPi Tbr1 Cngb3 Gaba-Glut(0.51)| PGRN-PARN-MDRN Hoxb5 Glut(0.17)	GPi Tbr1 Cngb3 Gaba-Glut_1(0.51)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.17)	1996 GPi Tbr1 Cngb3 Gaba-Glut_1(0.35)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.17)| 1995 GPi Tbr1 Cngb3 Gaba-Glut_1(0.13)	188
182_IN	Interneuron	PVALB	GPi_Shell	HY-EA-Glut-GABA	CNU-HYa Glut	GPi Tbr1 Cngb3 Gaba-Glut		Candidate to rename (MOUSE)		HY-EA-Glut-GABA(0.83)| MB-HB-Glut-Sero-Dopa(0.13)	CNU-HYa Glut(0.83)| MY Glut(0.07)	GPi Tbr1 Cngb3 Gaba-Glut(0.75)| PGRN-PARN-MDRN Hoxb5 Glut(0.07)| MS-SF Bsx Glut(0.06)	GPi Tbr1 Cngb3 Gaba-Glut_1(0.75)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.07)| MS-SF Bsx Glut_1(0.06)	1996 GPi Tbr1 Cngb3 Gaba-Glut_1(0.59)| 1995 GPi Tbr1 Cngb3 Gaba-Glut_1(0.13)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.07)| 2064 MS-SF Bsx Glut_1(0.06)	202
171_IN	Interneuron	LHX6	LHX6_SST	Subpallium-GABA	CNU-MGE GABA	Sst Chodl Gaba				Subpallium-GABA(0.63)| Subpallium-GABA;HY-EA-Glut-GABA(0.23)| HY-EA-Glut-GABA(0.09)	CNU-MGE GABA(0.44)| CNU-HYa GABA(0.23)| CTX-MGE GABA(0.15)| HY GABA(0.09)	Sst Chodl Gaba(0.35)| Sst Gaba(0.15)| MEA-BST Lhx6 Nfib Gaba(0.12)	Sst Chodl Gaba_1(0.23)| Sst Chodl Gaba_6(0.12)| MEA-BST Lhx6 Nfib Gaba_6(0.12)| Sst Gaba_2(0.1)	0845 Sst Chodl Gaba_1(0.2)| 0862 Sst Chodl Gaba_6(0.12)| 1313 MEA-BST Lhx6 Nfib Gaba_6(0.12)| 0765 Sst Gaba_2(0.09)	103
128_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba		GPe type in mouse		Subpallium-GABA(0.89)| Subpallium-GABA;HY-EA-Glut-GABA(0.08)	CNU-MGE GABA(0.83)| CNU-HYa GABA(0.08)	NDB-SI-MA-STRv Lhx8 Gaba(0.83)	NDB-SI-MA-STRv Lhx8 Gaba_11(0.43)| NDB-SI-MA-STRv Lhx8 Gaba_2(0.33)| NDB-SI-MA-STRv Lhx8 Gaba_12(0.07)	0915 NDB-SI-MA-STRv Lhx8 Gaba_11(0.43)| 0876 NDB-SI-MA-STRv Lhx8 Gaba_2(0.33)| 0916 NDB-SI-MA-STRv Lhx8 Gaba_12(0.07)	104
129_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba				Subpallium-GABA(0.88)	CNU-MGE GABA(0.85)	NDB-SI-MA-STRv Lhx8 Gaba(0.85)	NDB-SI-MA-STRv Lhx8 Gaba_12(0.48)| NDB-SI-MA-STRv Lhx8 Gaba_4(0.18)| NDB-SI-MA-STRv Lhx8 Gaba_6(0.08)	0916 NDB-SI-MA-STRv Lhx8 Gaba_12(0.48)| 0891 NDB-SI-MA-STRv Lhx8 Gaba_4(0.11)| 0899 NDB-SI-MA-STRv Lhx8 Gaba_6(0.08)	166
130_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba				Subpallium-GABA(0.97)	CNU-MGE GABA(0.95)	NDB-SI-MA-STRv Lhx8 Gaba(0.95)	NDB-SI-MA-STRv Lhx8 Gaba_8(0.64)| NDB-SI-MA-STRv Lhx8 Gaba_4(0.16)| NDB-SI-MA-STRv Lhx8 Gaba_6(0.14)	0908 NDB-SI-MA-STRv Lhx8 Gaba_8(0.63)| 0899 NDB-SI-MA-STRv Lhx8 Gaba_6(0.14)| 0891 NDB-SI-MA-STRv Lhx8 Gaba_4(0.13)	183
131_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba				Subpallium-GABA(0.3)| NN-IMN-GC(0.26)| MB-HB-CB-GABA(0.23)| MB-HB-Glut-Sero-Dopa(0.13)| Subpallium-GABA;NN-IMN-GC(0.07)	CNU-MGE GABA(0.18)| OPC-Oligo(0.14)| MY Glut(0.13)| Astro-Epen(0.11)| P GABA(0.1)| CB GABA(0.08)| OB-IMN GABA(0.07)| CTX-MGE GABA(0.06)	NDB-SI-MA-STRv Lhx8 Gaba(0.18)| OPC NN(0.14)| PGRN-PARN-MDRN Hoxb5 Glut(0.1)| NLL Gata3 Gly-Gaba(0.1)| Astro-NT NN(0.08)| CB PLI Gly-Gaba(0.08)| Sst Gaba(0.06)	OPC NN_1(0.14)| NDB-SI-MA-STRv Lhx8 Gaba_4(0.13)| NLL Gata3 Gly-Gaba_3(0.1)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.1)| CB PLI Gly-Gaba_3(0.08)| Astro-NT NN_2(0.08)	5270 OPC NN_1(0.14)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.1)| 4806 NLL Gata3 Gly-Gaba_3(0.1)| 0891 NDB-SI-MA-STRv Lhx8 Gaba_4(0.1)| 5183 CB PLI Gly-Gaba_3(0.08)| 5215 Astro-NT NN_2(0.07)	125
132_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba				Subpallium-GABA(0.95)	CNU-MGE GABA(0.9)	NDB-SI-MA-STRv Lhx8 Gaba(0.9)	NDB-SI-MA-STRv Lhx8 Gaba_2(0.33)| NDB-SI-MA-STRv Lhx8 Gaba_8(0.3)| NDB-SI-MA-STRv Lhx8 Gaba_6(0.18)	0907 NDB-SI-MA-STRv Lhx8 Gaba_8(0.25)| 0899 NDB-SI-MA-STRv Lhx8 Gaba_6(0.18)| 0871 NDB-SI-MA-STRv Lhx8 Gaba_2(0.14)| 0872 NDB-SI-MA-STRv Lhx8 Gaba_2(0.06)	391
133_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba				Subpallium-GABA(0.93)	CNU-MGE GABA(0.86)	NDB-SI-MA-STRv Lhx8 Gaba(0.86)	NDB-SI-MA-STRv Lhx8 Gaba_4(0.59)| NDB-SI-MA-STRv Lhx8 Gaba_9(0.14)| NDB-SI-MA-STRv Lhx8 Gaba_6(0.13)	0891 NDB-SI-MA-STRv Lhx8 Gaba_4(0.26)| 0890 NDB-SI-MA-STRv Lhx8 Gaba_4(0.19)| 0910 NDB-SI-MA-STRv Lhx8 Gaba_9(0.13)| 0899 NDB-SI-MA-STRv Lhx8 Gaba_6(0.12)| 0889 NDB-SI-MA-STRv Lhx8 Gaba_4(0.08)	190
134_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba				Subpallium-GABA(0.97)	CNU-MGE GABA(0.95)	NDB-SI-MA-STRv Lhx8 Gaba(0.95)	NDB-SI-MA-STRv Lhx8 Gaba_2(0.94)	0876 NDB-SI-MA-STRv Lhx8 Gaba_2(0.53)| 0874 NDB-SI-MA-STRv Lhx8 Gaba_2(0.21)| 0872 NDB-SI-MA-STRv Lhx8 Gaba_2(0.17)	482
135_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba				Subpallium-GABA(0.96)	CNU-MGE GABA(0.91)	NDB-SI-MA-STRv Lhx8 Gaba(0.91)	NDB-SI-MA-STRv Lhx8 Gaba_6(0.44)| NDB-SI-MA-STRv Lhx8 Gaba_2(0.41)| NDB-SI-MA-STRv Lhx8 Gaba_12(0.06)	0899 NDB-SI-MA-STRv Lhx8 Gaba_6(0.26)| 0872 NDB-SI-MA-STRv Lhx8 Gaba_2(0.18)| 0900 NDB-SI-MA-STRv Lhx8 Gaba_6(0.1)| 0874 NDB-SI-MA-STRv Lhx8 Gaba_2(0.1)| 0876 NDB-SI-MA-STRv Lhx8 Gaba_2(0.08)| 0916 NDB-SI-MA-STRv Lhx8 Gaba_12(0.06)| 0871 NDB-SI-MA-STRv Lhx8 Gaba_2(0.06)	234
136_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA	CNU-MGE GABA	NDB-SI-MA-STRv Lhx8 Gaba				Subpallium-GABA(0.96)	CNU-MGE GABA(0.88)	NDB-SI-MA-STRv Lhx8 Gaba(0.88)	NDB-SI-MA-STRv Lhx8 Gaba_4(0.87)	0891 NDB-SI-MA-STRv Lhx8 Gaba_4(0.82)	915
95_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA;HY-EA-Glut-GABA	CNU-HYa GABA	SI-MPO-LPO Lhx8 Gaba				Subpallium-GABA;HY-EA-Glut-GABA(0.44)| MB-HB-CB-GABA(0.21)| Subpallium-GABA(0.18)| MB-HB-Glut-Sero-Dopa(0.07)	CNU-HYa GABA(0.44)| MB GABA(0.1)| CNU-LGE GABA(0.06)| CNU-MGE GABA(0.06)| MY GABA(0.06)	SI-MPO-LPO Lhx8 Gaba(0.41)| MY Lhx1 Gly-Gaba(0.06)	SI-MPO-LPO Lhx8 Gaba_1(0.37)	1426 SI-MPO-LPO Lhx8 Gaba_1(0.12)| 1422 SI-MPO-LPO Lhx8 Gaba_1(0.07)| 1428 SI-MPO-LPO Lhx8 Gaba_1(0.07)	240
96_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA;HY-EA-Glut-GABA	CNU-HYa GABA	SI-MPO-LPO Lhx8 Gaba				Subpallium-GABA;HY-EA-Glut-GABA(0.58)| MB-HB-CB-GABA(0.21)| Subpallium-GABA(0.19)	CNU-HYa GABA(0.58)| MB GABA(0.15)| CNU-MGE GABA(0.12)| CNU-LGE GABA(0.07)| P GABA(0.06)	SI-MPO-LPO Lhx8 Gaba(0.58)| NDB-SI-MA-STRv Lhx8 Gaba(0.11)| PRT Tcf7l2 Gaba(0.08)	SI-MPO-LPO Lhx8 Gaba_1(0.58)| NDB-SI-MA-STRv Lhx8 Gaba_11(0.08)| PRT Tcf7l2 Gaba_5(0.06)	1427 SI-MPO-LPO Lhx8 Gaba_1(0.38)| 1425 SI-MPO-LPO Lhx8 Gaba_1(0.12)| 0915 NDB-SI-MA-STRv Lhx8 Gaba_11(0.08)| 1418 SI-MPO-LPO Lhx8 Gaba_1(0.08)| 3632 PRT Tcf7l2 Gaba_5(0.06)	112
97_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA;HY-EA-Glut-GABA	CNU-HYa GABA	SI-MPO-LPO Lhx8 Gaba				Subpallium-GABA;HY-EA-Glut-GABA(0.58)| MB-HB-CB-GABA(0.14)| MB-HB-Glut-Sero-Dopa(0.11)| Subpallium-GABA(0.11)	CNU-HYa GABA(0.58)| MB GABA(0.11)| MY Glut(0.08)| CNU-MGE GABA(0.08)	SI-MPO-LPO Lhx8 Gaba(0.58)| PGRN-PARN-MDRN Hoxb5 Glut(0.08)| NDB-SI-MA-STRv Lhx8 Gaba(0.07)| PRT Tcf7l2 Gaba(0.07)	SI-MPO-LPO Lhx8 Gaba_1(0.58)| PGRN-PARN-MDRN Hoxb5 Glut_2(0.08)| PRT Tcf7l2 Gaba_1(0.06)	1425 SI-MPO-LPO Lhx8 Gaba_1(0.38)| 4347 PGRN-PARN-MDRN Hoxb5 Glut_2(0.08)| 1424 SI-MPO-LPO Lhx8 Gaba_1(0.07)| 3606 PRT Tcf7l2 Gaba_1(0.06)	532
98_IN	Interneuron	GBX1	LHX6-LHX8-GBX1	Subpallium-GABA;HY-EA-Glut-GABA	CNU-HYa GABA	SI-MPO-LPO Lhx8 Gaba				Subpallium-GABA;HY-EA-Glut-GABA(0.52)| MB-HB-CB-GABA(0.35)| MB-HB-Glut-Sero-Dopa(0.07)	CNU-HYa GABA(0.52)| MB GABA(0.24)| P GABA(0.09)	SI-MPO-LPO Lhx8 Gaba(0.51)| SCm-PAG Cdh23 Gaba(0.09)| SC-PAG Lef1 Emx2 Gaba(0.06)	SI-MPO-LPO Lhx8 Gaba_1(0.43)| SI-MPO-LPO Lhx8 Gaba_5(0.08)	1423 SI-MPO-LPO Lhx8 Gaba_1(0.34)| 1427 SI-MPO-LPO Lhx8 Gaba_1(0.09)| 1455 SI-MPO-LPO Lhx8 Gaba_5(0.07)	184
50_IN	Interneuron	LHX6	LHX6-SATB1	Subpallium-GABA	CTX-MGE GABA	Pvalb Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA	CTX-MGE GABA	Pvalb Gaba(0.82)| Sst Gaba(0.16)	Pvalb Gaba_8(0.49)| Pvalb Gaba_3(0.13)| Pvalb Gaba_5(0.09)| Pvalb Gaba_7(0.07)	0754 Pvalb Gaba_8(0.49)| 0741 Pvalb Gaba_3(0.12)| 0748 Pvalb Gaba_5(0.09)| 0753 Pvalb Gaba_7(0.07)	176
52_IN	Interneuron	LHX6	LHX6-SATB1	Subpallium-GABA	CTX-MGE GABA	Pvalb chandelier Gaba		Cortical? MERSCOPE supports cortical.		Subpallium-GABA(0.95)	CTX-MGE GABA(0.91)	Pvalb chandelier Gaba(0.63)| Pvalb Gaba(0.12)| Lamp5 Lhx6 Gaba(0.09)| Sst Gaba(0.07)	Pvalb chandelier Gaba_1(0.63)| Lamp5 Lhx6 Gaba_1(0.09)| Sst Gaba_17(0.07)	0733 Pvalb chandelier Gaba_1(0.61)| 0725 Lamp5 Lhx6 Gaba_1(0.09)| 0824 Sst Gaba_17(0.07)	75
1_IN	Interneuron	TAC3	LHX6-TAC3-PLPP4	Subpallium-GABA	CNU-MGE GABA	STR Lhx8 Gaba				Subpallium-GABA(0.63)| NN-IMN-GC(0.14)| MB-HB-CB-GABA(0.1)| Subpallium-GABA;NN-IMN-GC(0.1)	CNU-MGE GABA(0.62)| OPC-Oligo(0.14)| OB-IMN GABA(0.1)| MY GABA(0.07)	STR Lhx8 Gaba(0.62)| OPC NN(0.14)| MDRNd Prox1 Pax6 Gly-Gaba(0.06)	STR Lhx8 Gaba_1(0.62)| OPC NN_1(0.14)| MDRNd Prox1 Pax6 Gly-Gaba_1(0.06)	0840 STR Lhx8 Gaba_1(0.58)| 5270 OPC NN_1(0.14)	5707
2_IN	Interneuron	TAC3	LHX6-TAC3-PLPP4	Subpallium-GABA	CNU-MGE GABA	STR Lhx8 Gaba				Subpallium-GABA(0.91)	CNU-MGE GABA(0.9)	STR Lhx8 Gaba(0.89)	STR Lhx8 Gaba_1(0.88)	0840 STR Lhx8 Gaba_1(0.6)| 0842 STR Lhx8 Gaba_1(0.26)	805
3_IN	Interneuron	TAC3	LHX6-TAC3-PLPP4	Subpallium-GABA	CNU-MGE GABA	STR Lhx8 Gaba				Subpallium-GABA(0.84)| NN-IMN-GC(0.07)	CNU-MGE GABA(0.83)| OPC-Oligo(0.07)	STR Lhx8 Gaba(0.83)| OPC NN(0.07)	STR Lhx8 Gaba_1(0.83)| OPC NN_1(0.07)	0840 STR Lhx8 Gaba_1(0.66)| 0842 STR Lhx8 Gaba_1(0.17)| 5270 OPC NN_1(0.07)	1003
4_IN	Interneuron	TAC3	LHX6-TAC3-PLPP4	Subpallium-GABA	CNU-MGE GABA	STR Lhx8 Gaba				Subpallium-GABA(0.57)| Subpallium-GABA;NN-IMN-GC(0.21)| MB-HB-CB-GABA(0.1)| NN-IMN-GC(0.06)	CNU-MGE GABA(0.57)| OB-IMN GABA(0.21)| MY GABA(0.06)| OPC-Oligo(0.06)	STR Lhx8 Gaba(0.57)| OB-STR-CTX Inh IMN(0.14)| OB-out Frmd7 Gaba(0.06)| OPC NN(0.06)	STR Lhx8 Gaba_1(0.57)| OB-out Frmd7 Gaba_1(0.06)| OPC NN_1(0.06)| OB-STR-CTX Inh IMN_5(0.06)	0840 STR Lhx8 Gaba_1(0.44)| 0842 STR Lhx8 Gaba_1(0.12)| 0573 OB-out Frmd7 Gaba_1(0.06)| 5270 OPC NN_1(0.06)	210
